# id	level	cz	cy	cx	sha256	class
pherc4_L0_z0350_y0120_x0120	0	350	120	120	-	unknown
pherc4_L0_z0350_y0120_x0216	0	350	120	216	-	unknown
pherc4_L0_z0350_y0152_x0152	0	350	152	152	-	unknown
pherc4_L0_z0350_y0104_x0104	0	350	104	104	-	unknown
pherc4_L0_z0350_y0104_x0088	0	350	104	88	-	unknown
pherc4_L0_z0350_y0072_x0088	0	350	72	88	-	unknown
pherc4_L0_z0350_y0056_x0120	0	350	56	120	-	unknown
pherc4_L0_z0350_y0072_x0152	0	350	72	152	-	unknown
pherc4_L0_z0350_y0072_x0120	0	350	72	120	-	unknown
pherc4_L0_z0350_y0168_x0104	0	350	168	104	-	unknown
pherc4_L0_z0350_y0104_x0168	0	350	104	168	-	unknown
pherc4_L0_z0400_y0152_x0136	0	400	152	136	-	unknown
pherc4_L0_z0400_y0120_x0152	0	400	120	152	-	unknown
pherc4_L0_z0400_y0152_x0200	0	400	152	200	-	unknown
pherc4_L0_z0400_y0056_x0072	0	400	56	72	-	unknown
pherc4_L0_z0400_y0152_x0184	0	400	152	184	-	unknown
pherc4_L0_z0400_y0120_x0168	0	400	120	168	-	unknown
pherc4_L0_z0400_y0168_x0088	0	400	168	88	-	unknown
pherc4_L0_z0400_y0056_x0120	0	400	56	120	-	unknown
pherc4_L0_z0400_y0088_x0168	0	400	88	168	-	unknown
pherc4_L0_z0400_y0120_x0120	0	400	120	120	-	unknown
pherc4_L0_z0400_y0120_x0104	0	400	120	104	-	unknown
pherc4_L0_z0450_y0136_x0120	0	450	136	120	-	unknown
pherc4_L0_z0450_y0184_x0104	0	450	184	104	-	unknown
pherc4_L0_z0450_y0168_x0120	0	450	168	120	-	unknown
pherc4_L0_z0450_y0168_x0136	0	450	168	136	-	unknown
pherc4_L0_z0450_y0136_x0088	0	450	136	88	-	unknown
pherc4_L0_z0450_y0200_x0136	0	450	200	136	-	unknown
pherc4_L0_z0450_y0168_x0104	0	450	168	104	-	unknown
pherc4_L0_z0450_y0072_x0120	0	450	72	120	-	unknown
pherc4_L0_z0450_y0088_x0120	0	450	88	120	-	unknown
pherc4_L0_z0450_y0136_x0200	0	450	136	200	-	unknown
pherc4_L0_z0450_y0136_x0216	0	450	136	216	-	unknown
pherc4_L1_z0175_y0028_x0044	1	175	28	44	-	unknown
pherc4_L1_z0175_y0068_x0076	1	175	68	76	-	unknown
pherc4_L1_z0175_y0076_x0060	1	175	76	60	-	unknown
pherc4_L1_z0200_y0036_x0060	1	200	36	60	-	unknown
pherc4_L1_z0200_y0060_x0068	1	200	60	68	-	unknown
pherc4_L1_z0200_y0068_x0036	1	200	68	36	-	unknown
pherc4_L1_z0225_y0084_x0100	1	225	84	100	-	unknown
pherc4_L1_z0225_y0068_x0060	1	225	68	60	-	unknown
pherc4_L1_z0225_y0076_x0052	1	225	76	52	-	unknown
pherc4_L2_z0100_y0022_x0018	2	100	22	18	-	unknown
pherc4_L2_z0100_y0014_x0030	2	100	14	30	-	unknown
pherc4_L2_z0100_y0038_x0026	2	100	38	26	-	unknown
pherc4_L2_z0100_y0046_x0034	2	100	46	34	-	unknown
octet_L0_z0350_y0120_x0136	0	350	120	136	-	octet
octet_L0_z0350_y0120_x0137	0	350	120	137	-	octet
octet_L0_z0350_y0121_x0136	0	350	121	136	-	octet
octet_L0_z0350_y0121_x0137	0	350	121	137	-	octet
octet_L0_z0351_y0120_x0136	0	351	120	136	-	octet
octet_L0_z0351_y0120_x0137	0	351	120	137	-	octet
octet_L0_z0351_y0121_x0136	0	351	121	136	-	octet
octet_L0_z0351_y0121_x0137	0	351	121	137	-	octet
