# id	level	cz	cy	cx	sha256	class
pherc4_L0_z0150_y0088_x0120	0	150	88	120	-	unknown
pherc4_L0_z0150_y0088_x0072	0	150	88	72	-	unknown
pherc4_L0_z0150_y0088_x0136	0	150	88	136	-	unknown
pherc4_L0_z0150_y0056_x0088	0	150	56	88	-	unknown
pherc4_L0_z0150_y0072_x0072	0	150	72	72	-	unknown
pherc4_L0_z0150_y0120_x0152	0	150	120	152	-	unknown
pherc4_L0_z0150_y0104_x0120	0	150	104	120	-	unknown
pherc4_L0_z0150_y0152_x0120	0	150	152	120	-	unknown
pherc4_L0_z0150_y0072_x0136	0	150	72	136	-	unknown
pherc4_L0_z0150_y0072_x0120	0	150	72	120	-	unknown
pherc4_L0_z0150_y0168_x0120	0	150	168	120	-	unknown
pherc4_L0_z0200_y0136_x0152	0	200	136	152	-	unknown
pherc4_L0_z0200_y0072_x0168	0	200	72	168	-	unknown
pherc4_L0_z0200_y0056_x0072	0	200	56	72	-	unknown
pherc4_L0_z0200_y0088_x0200	0	200	88	200	-	unknown
pherc4_L0_z0200_y0104_x0152	0	200	104	152	-	unknown
pherc4_L0_z0200_y0184_x0168	0	200	184	168	-	unknown
pherc4_L0_z0200_y0152_x0200	0	200	152	200	-	unknown
pherc4_L0_z0200_y0056_x0168	0	200	56	168	-	unknown
pherc4_L0_z0200_y0104_x0120	0	200	104	120	-	unknown
pherc4_L0_z0200_y0072_x0184	0	200	72	184	-	unknown
pherc4_L0_z0200_y0184_x0200	0	200	184	200	-	unknown
pherc4_L0_z0250_y0056_x0168	0	250	56	168	-	unknown
pherc4_L0_z0250_y0088_x0120	0	250	88	120	-	unknown
pherc4_L0_z0250_y0168_x0168	0	250	168	168	-	unknown
pherc4_L0_z0250_y0136_x0168	0	250	136	168	-	unknown
pherc4_L0_z0250_y0120_x0216	0	250	120	216	-	unknown
pherc4_L0_z0250_y0168_x0152	0	250	168	152	-	unknown
pherc4_L0_z0250_y0168_x0216	0	250	168	216	-	unknown
pherc4_L0_z0250_y0184_x0184	0	250	184	184	-	unknown
pherc4_L0_z0250_y0056_x0136	0	250	56	136	-	unknown
pherc4_L0_z0250_y0120_x0088	0	250	120	88	-	unknown
pherc4_L0_z0250_y0088_x0168	0	250	88	168	-	unknown
pherc4_L1_z0075_y0076_x0068	1	75	76	68	-	unknown
pherc4_L1_z0075_y0068_x0028	1	75	68	28	-	unknown
pherc4_L1_z0075_y0036_x0052	1	75	36	52	-	unknown
pherc4_L1_z0100_y0044_x0084	1	100	44	84	-	unknown
pherc4_L1_z0100_y0092_x0100	1	100	92	100	-	unknown
pherc4_L1_z0100_y0044_x0036	1	100	44	36	-	unknown
pherc4_L1_z0125_y0060_x0044	1	125	60	44	-	unknown
pherc4_L1_z0125_y0036_x0052	1	125	36	52	-	unknown
pherc4_L1_z0125_y0020_x0052	1	125	20	52	-	unknown
pherc4_L2_z0050_y0042_x0042	2	50	42	42	-	unknown
pherc4_L2_z0050_y0022_x0042	2	50	22	42	-	unknown
pherc4_L2_z0050_y0038_x0026	2	50	38	26	-	unknown
pherc4_L2_z0050_y0034_x0030	2	50	34	30	-	unknown
octet_L0_z0250_y0120_x0136	0	250	120	136	-	octet
octet_L0_z0250_y0120_x0137	0	250	120	137	-	octet
octet_L0_z0250_y0121_x0136	0	250	121	136	-	octet
octet_L0_z0250_y0121_x0137	0	250	121	137	-	octet
octet_L0_z0251_y0120_x0136	0	251	120	136	-	octet
octet_L0_z0251_y0120_x0137	0	251	120	137	-	octet
octet_L0_z0251_y0121_x0136	0	251	121	136	-	octet
octet_L0_z0251_y0121_x0137	0	251	121	137	-	octet
