
## PHerc Paris 4 hires-256 (ink/fiber-rich)  (256x256x256, 16.8 MB, atom=16^3, HF slope 0.50)

### target 16x  (q-knob proxy ~16)
  dz  |  ro   | ratio  |  PSNR | dPSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16
------+-------+--------+-------+-------+---------+---------+---------+---------+--------
 0.40 | 0.300 | 16.04x | 41.94 | +0.00 |  0.9825 | 0.05663 |  0.9786 |   4.916 |   2.408
 0.40 | 0.375 | 16.04x | 41.99 | +0.00 |  0.9823 | 0.05782 |  0.9782 |   4.882 |   2.484
 0.40 | 0.400 | 16.04x | 41.95 | +0.00 |  0.9822 | 0.05838 |  0.9780 |   4.902 |   2.512
 0.40 | 0.450 | 16.04x | 41.80 | +0.00 |  0.9815 | 0.06019 |  0.9772 |   5.008 |   2.593
 0.40 | 0.500 | 16.04x | 41.58 | +0.00 |  0.9807 | 0.06222 |  0.9763 |   5.168 |   2.686
 0.45 | 0.300 | 16.01x | 42.22 | +0.00 |  0.9834 | 0.05475 |  0.9797 |   4.787 |   2.298
 0.45 | 0.375 | 16.01x | 42.31 | +0.00 |  0.9834 | 0.05534 |  0.9795 |   4.720 |   2.354
 0.45 | 0.400 | 16.01x | 42.28 | +0.00 |  0.9833 | 0.05592 |  0.9793 |   4.732 |   2.385
 0.45 | 0.450 | 16.01x | 42.18 | +0.00 |  0.9829 | 0.05709 |  0.9788 |   4.794 |   2.445
 0.45 | 0.500 | 16.01x | 41.97 | +0.00 |  0.9821 | 0.05898 |  0.9779 |   4.935 |   2.532
 0.50 | 0.300 | 15.97x | 42.40 | +0.00 |  0.9839 | 0.05364 |  0.9804 |   4.708 |   2.224
 0.50 | 0.375 | 15.97x | 42.51 | +0.00 |  0.9841 | 0.05387 |  0.9804 |   4.625 |   2.265
 0.50 | 0.400 | 15.97x | 42.51 | +0.00 |  0.9840 | 0.05420 |  0.9802 |   4.627 |   2.288
 0.50 | 0.450 | 15.97x | 42.44 | +0.00 |  0.9837 | 0.05512 |  0.9798 |   4.662 |   2.340
 0.50 | 0.500 | 15.97x | 42.26 | +0.00 |  0.9831 | 0.05676 |  0.9791 |   4.773 |   2.420  <-baseline
 0.55 | 0.300 | 16.02x | 42.54 | +0.28 |  0.9843 | 0.05289 |  0.9809 |   4.652 |   2.155
 0.55 | 0.375 | 16.02x | 42.65 | +0.39 |  0.9845 | 0.05291 |  0.9809 |   4.570 |   2.184
 0.55 | 0.400 | 16.02x | 42.65 | +0.39 |  0.9844 | 0.05318 |  0.9808 |   4.563 |   2.209
 0.55 | 0.450 | 16.02x | 42.61 | +0.35 |  0.9843 | 0.05390 |  0.9805 |   4.584 |   2.255
 0.55 | 0.500 | 16.02x | 42.48 | +0.22 |  0.9839 | 0.05499 |  0.9800 |   4.657 |   2.319
 0.60 | 0.300 | 16.08x | 42.59 | +0.33 |  0.9844 | 0.05282 |  0.9811 |   4.630 |   2.132
 0.60 | 0.375 | 16.08x | 42.70 | +0.44 |  0.9846 | 0.05282 |  0.9811 |   4.552 |   2.161
 0.60 | 0.400 | 16.08x | 42.70 | +0.44 |  0.9845 | 0.05304 |  0.9810 |   4.548 |   2.184
 0.60 | 0.450 | 16.08x | 42.65 | +0.39 |  0.9843 | 0.05373 |  0.9807 |   4.567 |   2.230
 0.60 | 0.500 | 16.08x | 42.55 | +0.29 |  0.9840 | 0.05463 |  0.9802 |   4.625 |   2.285
 0.65 | 0.300 | 16.00x | 42.68 | +0.41 |  0.9846 | 0.05240 |  0.9814 |   4.593 |   2.100
 0.65 | 0.375 | 16.00x | 42.78 | +0.52 |  0.9848 | 0.05233 |  0.9814 |   4.517 |   2.124
 0.65 | 0.400 | 16.00x | 42.78 | +0.52 |  0.9847 | 0.05259 |  0.9813 |   4.511 |   2.147
 0.65 | 0.450 | 16.00x | 42.76 | +0.50 |  0.9847 | 0.05293 |  0.9811 |   4.516 |   2.182
 0.65 | 0.500 | 16.00x | 42.65 | +0.39 |  0.9843 | 0.05398 |  0.9806 |   4.576 |   2.243
