# chunk-size sweep on real PHerc Paris 4 data  (2026-06-02T14:55:14Z)
dataset	chunk	q	ratio	psnr	msssim	gmsd	encMBs	decMBs	faces	bstep
hires	32	8	5.10	44.44	0.9906	0.03726	122	159	37	1.646
hires	32	16	5.95	41.23	0.9815	0.06396	146	191	37	2.337
hires	32	32	6.58	37.85	0.9631	0.09749	153	216	37	3.384
hires	32	64	7.01	34.33	0.9255	0.14171	153	231	37	5.027
hires	32	128	7.26	31.02	0.8578	0.20430	159	236	37	7.185
coarse	32	8	3.63	41.41	0.9938	0.02616	109	107	33	2.345
coarse	32	16	4.70	37.57	0.9854	0.05249	126	144	33	3.600
coarse	32	32	5.72	33.78	0.9667	0.08859	140	173	33	5.450
coarse	32	64	6.55	30.02	0.9249	0.12986	148	201	33	8.247
coarse	32	128	7.08	26.50	0.8399	0.17005	156	224	33	11.992
hires	64	8	5.13	44.44	0.9906	0.03726	131	163	17	1.677
hires	64	16	6.00	41.23	0.9815	0.06395	139	192	17	2.381
hires	64	32	6.63	37.85	0.9631	0.09751	146	218	17	3.465
hires	64	64	7.05	34.33	0.9256	0.14173	151	235	17	5.140
hires	64	128	7.31	31.01	0.8578	0.20470	153	243	17	7.310
coarse	64	8	3.65	41.41	0.9938	0.02615	109	108	15	2.346
coarse	64	16	4.74	37.57	0.9854	0.05248	122	140	15	3.595
coarse	64	32	5.76	33.78	0.9667	0.08859	130	167	15	5.447
coarse	64	64	6.60	30.02	0.9249	0.12986	131	188	15	8.224
coarse	64	128	7.14	26.50	0.8398	0.17003	144	205	15	11.962
hires	128	8	5.13	44.44	0.9906	0.03727	121	161	7	1.890
hires	128	16	5.99	41.23	0.9815	0.06392	145	196	7	2.760
hires	128	32	6.62	37.85	0.9631	0.09752	150	221	7	4.054
hires	128	64	7.05	34.33	0.9256	0.14177	157	241	7	6.040
hires	128	128	7.30	31.02	0.8578	0.20499	160	258	7	8.569
coarse	128	8	3.65	41.41	0.9938	0.02615	109	106	6	2.343
coarse	128	16	4.74	37.57	0.9854	0.05247	123	141	6	3.578
coarse	128	32	5.77	33.78	0.9667	0.08859	138	170	6	5.403
coarse	128	64	6.61	30.02	0.9249	0.12987	145	200	6	8.167
coarse	128	128	7.14	26.51	0.8400	0.17006	152	227	6	11.807
hires	256	8	1.60	44.44	0.9906	0.03727	36	52	3	1.883
hires	256	16	1.69	41.23	0.9815	0.06394	38	55	3	2.749
hires	256	32	1.76	37.85	0.9631	0.09751	38	56	3	4.024
hires	256	64	1.81	34.33	0.9255	0.14176	38	58	3	6.057
hires	256	128	1.84	31.02	0.8578	0.20494	38	59	3	8.515
coarse	256	8	2.12	41.41	0.9938	0.02618	54	66	3	2.347
coarse	256	16	2.47	37.57	0.9854	0.05251	59	76	3	3.584
coarse	256	32	2.74	33.78	0.9667	0.08861	60	84	3	5.422
coarse	256	64	2.94	30.02	0.9248	0.12987	62	92	3	8.197
coarse	256	128	3.06	26.50	0.8399	0.17006	64	95	3	11.882
