
## PHerc Paris 4 hires-256 (ink/fiber-rich)  (256x256x256, 16.8 MB, atom=16^3, hf_slope=0.50)

### target 8x
config              | ratio  |  PSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16 | dcKB | enc MB/s
--------------------+--------+-------+---------+---------+---------+---------+---------+------+---------
iso HF (baseline)   |  8.04x | 45.87 |  0.9922 | 0.02929 |  0.9909 |   2.992 |   1.562 |    8 |      48
aniso Zprot .5/1/1  |  8.03x | 45.91 |  0.9923 | 0.02908 |  0.9909 |   2.978 |   1.555 |    8 |      47
aniso Zprot .3/1/1  |  8.02x | 45.93 |  0.9923 | 0.02898 |  0.9910 |   2.972 |   1.551 |    8 |      48
aniso Zprot .5/1.3/1.3|  8.04x | 45.91 |  0.9923 | 0.02905 |  0.9909 |   2.977 |   1.554 |    8 |      45
aniso Zprot .3/1.5/1.5|  8.03x | 45.95 |  0.9923 | 0.02888 |  0.9910 |   2.964 |   1.546 |    8 |      45
aniso Zcoarse 2/1/1 |  8.04x | 45.86 |  0.9922 | 0.02942 |  0.9909 |   3.001 |   1.551 |    8 |      48
aniso Yonly-coarse 1/2/1|  8.04x | 45.89 |  0.9922 | 0.02932 |  0.9909 |   2.991 |   1.553 |    8 |      45
iso HF + Zpred DC   |  8.05x | 45.87 |  0.9922 | 0.02929 |  0.9909 |   2.992 |   1.562 |    4 |      30

### target 16x
config              | ratio  |  PSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16 | dcKB | enc MB/s
--------------------+--------+-------+---------+---------+---------+---------+---------+------+---------
iso HF (baseline)   | 15.97x | 42.26 |  0.9831 | 0.05676 |  0.9791 |   4.773 |   2.420 |    8 |      35
aniso Zprot .5/1/1  | 15.98x | 42.30 |  0.9833 | 0.05635 |  0.9792 |   4.746 |   2.408 |    8 |      51
aniso Zprot .3/1/1  | 15.90x | 42.31 |  0.9833 | 0.05625 |  0.9792 |   4.739 |   2.409 |    8 |      52
aniso Zprot .5/1.3/1.3| 15.92x | 42.30 |  0.9833 | 0.05632 |  0.9792 |   4.744 |   2.409 |    8 |      50
aniso Zprot .3/1.5/1.5| 15.89x | 42.31 |  0.9833 | 0.05620 |  0.9792 |   4.736 |   2.409 |    8 |      51
aniso Zcoarse 2/1/1 | 15.95x | 42.26 |  0.9831 | 0.05689 |  0.9791 |   4.783 |   2.412 |    8 |      35
aniso Yonly-coarse 1/2/1| 15.91x | 42.30 |  0.9833 | 0.05642 |  0.9792 |   4.744 |   2.404 |    8 |      51
iso HF + Zpred DC   | 16.03x | 42.26 |  0.9831 | 0.05676 |  0.9791 |   4.773 |   2.420 |    4 |      51

### target 32x
config              | ratio  |  PSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16 | dcKB | enc MB/s
--------------------+--------+-------+---------+---------+---------+---------+---------+------+---------
iso HF (baseline)   | 32.03x | 38.25 |  0.9618 | 0.09363 |  0.9595 |   7.431 |   3.934 |    8 |      52
aniso Zprot .5/1/1  | 32.02x | 38.26 |  0.9619 | 0.09339 |  0.9596 |   7.411 |   3.930 |    8 |      37
aniso Zprot .3/1/1  | 32.03x | 38.26 |  0.9619 | 0.09336 |  0.9595 |   7.410 |   3.931 |    8 |      35
aniso Zprot .5/1.3/1.3| 32.04x | 38.26 |  0.9619 | 0.09341 |  0.9595 |   7.414 |   3.932 |    8 |      51
aniso Zprot .3/1.5/1.5| 32.05x | 38.27 |  0.9619 | 0.09328 |  0.9596 |   7.402 |   3.929 |    8 |      52
aniso Zcoarse 2/1/1 | 32.09x | 38.22 |  0.9615 | 0.09400 |  0.9593 |   7.462 |   3.946 |    8 |      51
aniso Yonly-coarse 1/2/1| 32.03x | 38.26 |  0.9618 | 0.09347 |  0.9595 |   7.410 |   3.928 |    8 |      36
iso HF + Zpred DC   | 32.27x | 38.25 |  0.9618 | 0.09363 |  0.9595 |   7.431 |   3.934 |    4 |      37

### target 64x
